Type,Nom,Niveau requis,Bonus Force,Bonus Intelligence,Bonus Agilité,Bonus Sagesse,Bonus Vita,Bonus Défense,Effet spécial
Arme (1 main),Dague en fer,5,3,0,2,1,0,0,-
Arme (1 main),Épée du chasseur,10,5,0,4,2,0,1,-
Arme (1 main),Lame de l'assassin,15,7,1,6,3,0,0,Critique +10%
Arme (1 main),Massue du tank,20,10,0,1,0,5,3,-
Arme (1 main),Bâton du mage,25,2,8,1,3,0,0,Dégâts magiques +15%
Arme (1 main),Épée maudite,30,8,2,5,4,0,1,Vol de vie (5% des dégâts)
Arme (1 main),Lame légendaire,35,12,3,8,5,0,2,-
Arme (1 main),Épée de lumière,40,10,5,6,6,5,4,Bénit les alliés (+10% défense)
Arme (1 main),Dague empoisonnée,45,9,4,7,7,0,0,Poison (10 dégâts/tour; 2 tours)
Arme (1 main),Hache du berserker,50,15,0,3,0,0,5,-
Arme (2 mains),Épée à deux mains,10,12,0,5,3,0,0,-
Arme (2 mains),Massue géante,20,18,0,2,0,8,0,-
Arme (2 mains),Lance du chevalier,25,14,0,6,4,0,3,-
Arme (2 mains),Hache de guerre,30,20,0,4,2,0,5,-
Arme (2 mains),Bâton runique,35,5,15,3,8,0,0,Dégâts magiques +25%
Arme (2 mains),Épée légendaire,45,25,5,8,8,0,5,-
Arme (2 mains),Marteau de tonnerre,50,22,0,1,0,10,0,-
Bouclier,Bouclier en bois,5,0,0,0,0,0,3,-
Bouclier,Bouclier en fer,10,0,0,0,0,0,5,-
Bouclier,Bouclier du tank,15,0,0,0,0,5,8,-
Bouclier,Bouclier magique,20,0,0,3,2,0,10,Résistance magie +15%
Bouclier,Bouclier de lumière,25,0,5,0,5,0,12,-
Bouclier,Bouclier runique,30,0,0,5,5,5,15,Résistance magie +20%
Bouclier,Bouclier légendaire,35,0,0,8,8,10,20,-
Bouclier,Bouclier sacré,40,5,5,5,5,15,25,Immunité aux effets négatifs (1 tour)
Bouclier,Bouclier du roi,45,0,0,10,10,20,30,-
Bouclier,Bouclier ultime,50,0,0,15,15,25,35,-
Armure,Armure en cuir,5,0,0,2,1,10,0,-
Armure,Armure en fer,10,0,0,3,2,15,5,-
Armure,Armure du tank,15,0,0,1,0,20,10,-
Armure,Armure du chasseur,20,0,0,5,3,10,5,-
Armure,Armure magique,25,0,5,5,5,5,15,Résistance magie +10%
Armure,Armure de lumière,30,0,10,5,10,5,20,-
Armure,Armure runique,35,0,0,10,10,10,25,Résistance magie +15%
Armure,Armure légendaire,40,0,10,10,10,15,30,-
Armure,Armure sacrée,45,0,5,5,15,15,20,35,Immunité aux dégâts (1 tour)
Armure,Armure ultime,50,0,0,20,20,25,40,-
Bottes,Bottes en cuir,5,1,0,1,0,0,0,-
Bottes,Bottes du chasseur,10,2,0,3,1,5,0,-
Bottes,Bottes magiques,15,0,2,3,2,0,5,Résistance magie +5%
Bottes,Bottes de lumière,20,0,5,5,5,5,10,-
Bottes,Bottes du vent,25,3,0,5,3,0,10,+1 PM
Bottes,Bottes runiques,30,0,5,8,5,0,15,Résistance magie +10%
Bottes,Bottes légendaires,35,5,0,10,10,5,20,-
Bottes,Bottes sacrées,40,2,2,12,12,10,25,Immunité aux effets négatifs (1 tour)
Bottes,Bottes ultimes,45,3,3,15,15,15,30,-
Bottes,Bottes de vitesse,50,5,5,20,20,20,35,+2 PM
Casque,Casque en cuir,5,0,0,1,0,5,0,-
Casque,Casque en fer,10,0,0,2,0,10,5,-
Casque,Casque du guerrier,15,5,0,0,0,15,8,-
Casque,Chapeau du mage,20,0,5,3,2,0,10,Résistance magie +10%
Casque,Casque du chasseur,25,0,5,5,5,5,15,-
Casque,Casque runique,30,0,0,5,5,0,20,Résistance magie +15%
Casque,Casque du roi,35,10,0,0,0,10,25,-
Casque,Casque de lumière,40,0,10,10,10,10,30,-
Casque,Casque noir,45,5,5,15,15,15,35,-
Casque,Casque légendaire,50,0,0,20,20,0,40,-
Accessoire,Bague du serpent,5,0,0,2,0,0,0,Venin +10%
Accessoire,Collier de force,10,5,0,0,0,0,0,-
Accessoire,Bague de sagesse,15,0,5,0,0,0,0,-
Accessoire,Collier de vie,20,0,0,0,0,10,0,-
Accessoire,Bague de magie,25,0,5,5,0,0,0,-
Accessoire,Collier de défense,30,0,0,0,0,0,10,-
Accessoire,Bague de l'assassin,35,5,0,5,0,0,0,-
Accessoire,Collier de mana,40,0,5,0,0,0,0,+10% dégâts magiques
Accessoire,Bague de résistance,45,0,0,0,0,5,5,-
Accessoire,Collier légendaire,50,0,0,10,10,10,10,-
